Chart1|Chart2|Chart3|Chart4|Track|Artist|Date|Chart5|Chart6|Chart7|Date2
78|81|54|14|Think A Little Less|MICHAEL RAY|2017-01-14|90|54|16|20170415
79|48|48|2|KMT|DRAKE featuring GIGGS|2017-04-08|48|48|2|20170415
80|90|70|12|Call On Me|STARLEY|2017-01-28|94|65|17|20170415
81|93|69|13|The Weekend|BRANTLEY GILBERT|2017-01-21|95|64|20|20170415
82|50|50|2|4422|DRAKE featuring SAMPHA|2017-04-08|50|50|2|20170415
83|49|49|2|Jorja Interlude|DRAKE|2017-04-08|49|49|2|20170415
84|51|51|2|Madiba Riddim|DRAKE|2017-04-08|51|51|2|20170415
85|62|62|2|Ice Melts|DRAKE featuring YOUNG THUG|2017-04-08|62|62|2|20170415
86|60|60|2|Do Not Disturbed|DRAKE|2017-04-08|60|60|2|20170415
87|NEW|87|1|Black|DIERKS BENTLEY|2017-04-15|87|56|9|20170415
88|NEW|88|1|Yeah Boy|KELSEA BALLERINI|2017-04-15|88|65|8|20170415
89|54|54|2|Glow|DRAKE featuring KANYE WEST|2017-04-08|54|54|2|20170415
90|95|46|6|Draco|FUTURE|2017-03-11|46|46|8|20170415
91|100|56|16|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|18|20170415
92|NEW|92|1|Scared To Be Lonely|MARTIN GARRIX & DUA LIPA|2017-04-15|92|76|9|20170415
93|89|53|4|Galway Girl|ED SHEERAN|2017-03-25|53|53|4|20170415
94|75|55|7|Everyday|ARIANA GRANDE featuring NATURE|2017-03-04|85|55|7|20170415
95|NEW|95|1|Good Drank|2 CHAINZ x GUCCI MANE x QUAVO|2017-04-15|95|82|9|20170415
96|NEW|96|1|Prblms|6LACK|2017-04-15|96|88|3|20170415
97|82|82|2|Can't Have Everything|DRAKE|2017-04-08|82|82|2|20170415
98|99|16|19|Party Monster|THE WEEKND|2016-12-10|39|16|19|20170415
99|61|61|2|Nothings Into Somethings|DRAKE|2017-04-08|61|61|2|20170415
100|NEW|100|1|You're Welcome|DWAYNE JOHNSON|2017-04-15|100|93|3|20170415
1|1|1|11|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170408
2|2|2|9|That's What I Like|BRUNO MARS|2017-02-11|82|1|18|20170408
3|4|2|15|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|2|23|20170408
4|3|1|19|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170408
5|5|5|18|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|4|26|20170408
6|6|6|5|Tunnel Vision|KODAK BLACK|2017-03-11|27|6|14|20170408
7|8|5|5|Something Just Like This|THE CHAINSMOKERS & COLDPLAY|2017-03-11|56|3|14|20170408
8|NEW|8|1|Passionfruit|DRAKE|2017-04-08|8|8|10|20170408
9|NEW|9|1|Portland|DRAKE featuring QUAVO & TRAVIS SCOTT|2017-04-08|9|9|10|20170408
10|9|6|10|Paris|THE CHAINSMOKERS|2017-02-04|7|6|19|20170408
11|7|5|22|Love On The Brain|RIHANNA|2016-11-12|80|5|30|20170408
12|10|10|13|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|4|22|20170408
13|12|9|16|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|9|25|20170408
14|11|6|20|Bounce Back|BIG SEAN|2016-11-26|61|6|28|20170408
15|31|8|22|Fake Love|DRAKE|2016-11-12|24|8|25|20170408
16|18|16|8|Body Like A Back Road|SAM HUNT|2017-02-18|38|6|17|20170408
17|13|1|34|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|43|20170408
18|NEW|18|1|Free Smoke|DRAKE|2017-04-08|18|18|4|20170408
19|15|4|6|Chained To The Rhythm|KATY PERRY featuring SKIP MARLEY|2017-03-04|4|4|15|20170408
20|17|12|6|It Ain't Me|KYGO x SELENA GOMEZ|2017-03-04|93|10|15|20170408
21|27|21|4|Stay|ZEDD & ALESSIA CARA|2017-03-18|28|7|13|20170408
22|21|21|22|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|11|31|20170408
23|20|15|26|Mercy|SHAWN MENDES|2016-10-15|68|15|31|20170408
24|19|19|5|Mask Off|FUTURE|2017-03-11|49|5|14|20170408
25|26|19|10|T-Shirt|MIGOS|2017-02-04|43|19|19|20170408
26|24|24|9|Issues|JULIA MICHAELS|2017-02-11|87|11|18|20170408
27|22|4|24|24K Magic|BRUNO MARS|2016-10-29|5|4|33|20170408
28|23|21|10|Down|MARIAN HILL|2017-02-04|99|21|17|20170408
29|NEW|29|1|Gyalchester|DRAKE|2017-04-08|29|29|6|20170408
30|32|30|12|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|12|21|20170408
31|16|16|6|Cold|MAROON 5 featuring FUTURE|2017-03-04|42|16|15|20170408
32|35|32|11|Location|KHALID|2017-01-28|77|16|20|20170408
33|28|1|46|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|52|20170408
34|25|8|30|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|8|39|20170408
35|NEW|35|1|Teenage Fever|DRAKE|2017-04-08|35|35|4|20170408
36|NEW|36|1|Sacrifices|DRAKE featuring 2 CHAINZ & YOUNG THUG|2017-04-08|36|36|3|20170408
37|30|1|27|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|30|20170408
38|NEW|38|1|Blem|DRAKE|2017-04-08|38|38|4|20170408
39|29|4|20|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|22|20170408
40|NEW|40|1|No Long Talk|DRAKE featuring GIGGS|2017-04-08|40|40|2|20170408
41|33|33|14|Swang|RAE SREMMURD|2017-01-07|99|26|23|20170408
42|34|34|6|Rolex|AYO & TEO|2017-03-04|87|30|15|20170408
43|37|37|16|Dirt On My Boots|JON PARDI|2016-12-24|95|37|20|20170408
44|36|6|24|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|6|27|20170408
45|NEW|45|1|Get It Together|DRAKE featuring JORJA SMITH & VLACK COFFEE|2017-04-08|45|45|2|20170408
46|38|4|7|Million Reasons|LADY GAGA|2017-02-25|4|4|9|20170408
47|41|4|33|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|33|20170408
48|NEW|48|1|KMT|DRAKE featuring GIGGS|2017-04-08|48|48|2|20170408
49|NEW|49|1|Jorja Interlude|DRAKE|2017-04-08|49|49|2|20170408
50|NEW|50|1|4422|DRAKE featuring SAMPHA|2017-04-08|50|50|2|20170408
51|NEW|51|1|Madiba Riddim|DRAKE|2017-04-08|51|51|2|20170408
52|53|52|10|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170408
53|43|26|19|Water Under The Bridge|ADELE|2016-12-03|94|26|21|20170408
54|NEW|54|1|Glow|DRAKE featuring KANYE WEST|2017-04-08|54|54|2|20170408
55|48|34|4|Slide|CALVIN HARRIS featuring FRANK OCEAN & MIGOS|2017-03-18|34|25|13|20170408
56|44|40|14|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|20|20170408
57|42|41|7|Believer|IMAGINE DRAGONS|2017-02-25|43|15|16|20170408
58|51|41|14|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|22|20170408
59|50|50|13|Goosebumps|TRAVIS SCOTT|2017-01-14|85|50|13|20170408
60|NEW|60|1|Do Not Disturbed|DRAKE|2017-04-08|60|60|2|20170408
61|NEW|61|1|Nothings Into Somethings|DRAKE|2017-04-08|61|61|2|20170408
62|NEW|62|1|Ice Melts|DRAKE featuring YOUNG THUG|2017-04-08|62|62|2|20170408
63|46|46|4|How Far I'll Go|AULI'I CRAVALHO|2017-03-18|53|46|9|20170408
64|NEW|64|1|Lose You|DRAKE|2017-04-08|64|64|1|20170408
65|39|19|4|Green Light|LORDE|2017-03-18|100|19|9|20170408
66|65|61|7|Look At Me!|XXXTENTACION|2017-02-25|95|34|16|20170408
67|68|67|7|In Case You Didn't Know|BRETT YOUNG|2017-02-25|94|19|16|20170408
68|66|66|6|Hurricane|LUKE COMBS|2017-03-04|96|31|15|20170408
69|64|64|9|Fast|LUKE BRYAN|2017-02-11|81|58|13|20170408
70|NEW|70|1|Since Way Back|DRAKE featuring PARTYNEXTDOOR|2017-04-08|70|70|1|20170408
71|56|56|4|Redbone|CHILDISH GAMBINO|2017-03-18|83|22|13|20170408
72|52|6|11|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|20|20170408
73|47|46|14|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|46|14|20170408
74|70|70|9|Any Ol' Barstool|JASON ALDEAN|2017-02-11|93|52|18|20170408
75|55|55|6|Everyday|ARIANA GRANDE featuring NATURE|2017-03-04|85|55|7|20170408
76|NEW|76|1|Skepta Interlude|DRAKE|2017-04-08|76|76|1|20170408
77|58|41|16|Play That Song|TRAIN|2016-12-24|77|41|19|20170408
78|87|53|6|The Fighter|KEITH URBAN featuring CARRIE UNDERWOOD|2017-03-04|53|38|15|20170408
79|69|52|5|Heavy|LINKIN PARK featuring KIIARA|2017-03-11|52|50|14|20170408
80|57|7|15|Deja Vu|J. COLE|2016-12-31|7|7|20|20170408
81|54|54|13|Think A Little Less|MICHAEL RAY|2017-01-14|90|54|16|20170408
82|NEW|82|1|Can't Have Everything|DRAKE|2017-04-08|82|82|2|20170408
83|73|38|13|Moves|BIG SEAN|2017-01-14|71|38|18|20170408
84|14|14|2|No Frauds|NICKI MINAJ, DRAKE & LIL WAYNE|2017-04-01|14|14|7|20170408
85|59|37|4|Selfish|FUTURE featuring RIHANNA|2017-03-18|37|37|10|20170408
86|67|57|6|Shining|DJ KHALED featuring BEYONCE & JAY Z|2017-03-04|62|57|13|20170408
87|80|80|9|Road Less Traveled|LAUREN ALAINA|2017-02-11|86|67|12|20170408
88|NEW|88|1|At My Best|MACHINE GUN KELLY featuring HAILEE STEINFELD|2017-04-08|88|88|1|20170408
89|63|53|3|Galway Girl|ED SHEERAN|2017-03-25|53|53|4|20170408
90|75|70|11|Call On Me|STARLEY|2017-01-28|94|65|17|20170408
91|79|79|4|Losin Control|RUSS|2017-03-18|89|62|13|20170408
92|81|81|4|Hometown Girl|JOSH TURNER|2017-03-18|96|56|13|20170408
93|84|69|12|The Weekend|BRANTLEY GILBERT|2017-01-21|95|64|20|20170408
94|60|37|3|Perfect|ED SHEERAN|2017-03-25|37|37|3|20170408
95|74|46|5|Draco|FUTURE|2017-03-11|46|46|8|20170408
96|83|71|13|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|13|20170408
97|NEW|97|1|Trap Trap Trap|RICK ROSS featuring YOUNG THUG & WALE|2017-04-08|97|97|1|20170408
98|NEW|98|1|Swalla|JASON DERULO featuring NICKI MINAJ & TY DOLLA $IGN|2017-04-08|98|33|10|20170408
99|77|16|18|Party Monster|THE WEEKND|2016-12-10|39|16|19|20170408
100|76|56|15|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|18|20170408
1|1|1|10|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170401
2|3|2|8|That's What I Like|BRUNO MARS|2017-02-11|82|1|18|20170401
3|2|1|18|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170401
4|4|2|14|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|2|23|20170401
5|12|5|17|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|4|26|20170401
6|6|6|4|Tunnel Vision|KODAK BLACK|2017-03-11|27|6|14|20170401
7|5|5|21|Love On The Brain|RIHANNA|2016-11-12|80|5|30|20170401
8|11|5|4|Something Just Like This|THE CHAINSMOKERS & COLDPLAY|2017-03-11|56|3|14|20170401
9|7|6|9|Paris|THE CHAINSMOKERS|2017-02-04|7|6|19|20170401
10|14|10|12|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|4|22|20170401
11|8|6|19|Bounce Back|BIG SEAN|2016-11-26|61|6|28|20170401
12|9|9|15|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|9|25|20170401
13|10|1|33|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|43|20170401
14|NEW|14|1|No Frauds|NICKI MINAJ, DRAKE & LIL WAYNE|2017-04-01|14|14|7|20170401
15|13|4|5|Chained To The Rhythm|KATY PERRY featuring SKIP MARLEY|2017-03-04|4|4|15|20170401
16|20|16|5|Cold|MAROON 5 featuring FUTURE|2017-03-04|42|16|15|20170401
17|18|12|5|It Ain't Me|KYGO x SELENA GOMEZ|2017-03-04|93|10|15|20170401
18|17|17|7|Body Like A Back Road|SAM HUNT|2017-02-18|38|6|17|20170401
19|32|19|4|Mask Off|FUTURE|2017-03-11|49|5|14|20170401
20|15|15|25|Mercy|SHAWN MENDES|2016-10-15|68|15|31|20170401
21|28|21|21|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|11|31|20170401
22|16|4|23|24K Magic|BRUNO MARS|2016-10-29|5|4|33|20170401
23|25|21|9|Down|MARIAN HILL|2017-02-04|99|21|17|20170401
24|27|24|8|Issues|JULIA MICHAELS|2017-02-11|87|11|18|20170401
25|21|8|29|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|8|39|20170401
26|30|19|9|T-Shirt|MIGOS|2017-02-04|43|19|19|20170401
27|34|27|3|Stay|ZEDD & ALESSIA CARA|2017-03-18|28|7|13|20170401
28|24|1|45|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|52|20170401
29|22|4|19|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|22|20170401
30|26|1|26|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|30|20170401
31|23|8|21|Fake Love|DRAKE|2016-11-12|24|8|25|20170401
32|33|32|11|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|12|21|20170401
33|36|33|13|Swang|RAE SREMMURD|2017-01-07|99|26|23|20170401
34|48|34|5|Rolex|AYO & TEO|2017-03-04|87|30|15|20170401
35|38|35|10|Location|KHALID|2017-01-28|77|16|20|20170401
36|31|6|23|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|6|27|20170401
37|42|37|15|Dirt On My Boots|JON PARDI|2016-12-24|95|37|20|20170401
38|29|4|6|Million Reasons|LADY GAGA|2017-02-25|4|4|9|20170401
39|19|19|3|Green Light|LORDE|2017-03-18|100|19|9|20170401
40|35|1|27|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|27|20170401
41|40|4|32|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|33|20170401
42|41|41|6|Believer|IMAGINE DRAGONS|2017-02-25|43|15|16|20170401
43|43|26|18|Water Under The Bridge|ADELE|2016-12-03|94|26|21|20170401
44|51|40|13|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|20|20170401
45|44|2|39|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|39|20170401
46|60|46|3|How Far I'll Go|AULI'I CRAVALHO|2017-03-18|53|46|9|20170401
47|46|46|13|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|46|14|20170401
48|52|34|3|Slide|CALVIN HARRIS featuring FRANK OCEAN & MIGOS|2017-03-18|34|25|13|20170401
49|47|11|28|Caroline|AMINE|2016-09-24|96|11|28|20170401
50|57|50|12|Goosebumps|TRAVIS SCOTT|2017-01-14|85|50|13|20170401
51|54|41|13|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|22|20170401
52|39|6|10|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|20|20170401
53|56|52|9|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170401
54|58|54|12|Think A Little Less|MICHAEL RAY|2017-01-14|90|54|16|20170401
55|63|55|5|Everyday|ARIANA GRANDE featuring NATURE|2017-03-04|85|55|7|20170401
56|69|56|3|Redbone|CHILDISH GAMBINO|2017-03-18|83|22|13|20170401
57|64|7|14|Deja Vu|J. COLE|2016-12-31|7|7|20|20170401
58|68|41|15|Play That Song|TRAIN|2016-12-24|77|41|19|20170401
59|66|37|3|Selfish|FUTURE featuring RIHANNA|2017-03-18|37|37|10|20170401
60|37|37|2|Perfect|ED SHEERAN|2017-03-25|37|37|3|20170401
61|NEW|61|1|Regret In Your Tears|NICKI MINAJ|2017-04-01|61|61|1|20170401
62|55|34|20|Better Man|LITTLE BIG TOWN|2016-11-19|54|34|20|20170401
63|53|53|2|Galway Girl|ED SHEERAN|2017-03-25|53|53|4|20170401
64|65|64|8|Fast|LUKE BRYAN|2017-02-11|81|58|13|20170401
65|61|61|6|Look At Me!|XXXTENTACION|2017-02-25|95|34|16|20170401
66|73|66|5|Hurricane|LUKE COMBS|2017-03-04|96|31|15|20170401
67|62|57|5|Shining|DJ KHALED featuring BEYONCE & JAY Z|2017-03-04|62|57|13|20170401
68|80|68|6|In Case You Didn't Know|BRETT YOUNG|2017-02-25|94|19|16|20170401
69|79|52|4|Heavy|LINKIN PARK featuring KIIARA|2017-03-11|52|50|14|20170401
70|70|70|8|Any Ol' Barstool|JASON ALDEAN|2017-02-11|93|52|18|20170401
71|NEW|71|1|Changed It|NICKI MINAJ & LIL WAYNE|2017-04-01|71|71|1|20170401
72|NEW|72|1|Chanel|FRANK OCEAN|2017-04-01|72|72|1|20170401
73|71|38|12|Moves|BIG SEAN|2017-01-14|71|38|18|20170401
74|77|46|4|Draco|FUTURE|2017-03-11|46|46|8|20170401
75|78|70|10|Call On Me|STARLEY|2017-01-28|94|65|17|20170401
76|89|56|14|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|18|20170401
77|76|16|17|Party Monster|THE WEEKND|2016-12-10|39|16|19|20170401
78|NEW|78|1|Liability|LORDE|2017-04-01|78|78|1|20170401
79|86|79|3|Losin Control|RUSS|2017-03-18|89|62|13|20170401
80|85|80|8|Road Less Traveled|LAUREN ALAINA|2017-02-11|86|67|12|20170401
81|95|81|3|Hometown Girl|JOSH TURNER|2017-03-18|96|56|13|20170401
82|67|43|11|I Got You|BEBE REXHA|2017-01-21|94|43|11|20170401
83|88|71|12|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|13|20170401
84|87|69|11|The Weekend|BRANTLEY GILBERT|2017-01-21|95|64|20|20170401
85|49|49|2|Dive|ED SHEERAN|2017-03-25|49|49|2|20170401
86|82|47|11|Sober Saturday Night|CHRIS YOUNG featuring VINCE GILL|2017-01-21|92|47|11|20170401
87|92|53|5|The Fighter|KEITH URBAN featuring CARRIE UNDERWOOD|2017-03-04|53|38|15|20170401
88|NEW|88|1|Black|DIERKS BENTLEY|2017-04-01|88|88|1|20170401
89|74|67|10|Today|BRAD PAISLEY|2017-01-28|95|67|10|20170401
90|94|51|19|Selfish|PNB ROCK|2016-11-26|87|51|19|20170401
91|98|91|5|Yeah Boy|KELSEA BALLERINI|2017-03-04|94|91|5|20170401
92|NEW|92|1|You're Welcome|DWAYNE JOHNSON|2017-04-01|92|92|1|20170401
93|NEW|93|1|Good Drank|2 CHAINZ x GUCCI MANE x QUAVO|2017-04-01|93|93|1|20170401
94|59|59|2|Happier|ED SHEERAN|2017-03-25|59|59|2|20170401
95|NEW|95|1|Prblms|6LACK|2017-04-01|95|95|1|20170401
96|81|48|3|Comin Out Strong|FUTURE featuring THE WEEKND|2017-03-18|48|48|3|20170401
97|97|51|17|Chantaje|SHAKIRA featuring MALUMA|2016-12-10|77|51|17|20170401
98|NEW|98|1|El Amante|NICKY JAM|2017-04-01|98|98|1|20170401
99|NEW|99|1|Slippery|MIGOS featuring GUCCI MANE|2017-04-01|99|99|1|20170401
100|NEW|100|1|Scared To Be Lonely|MARTIN GARRIX & DUA LIPA|2017-04-01|100|100|1|20170401
1|1|1|9|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170325
2|2|1|17|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170325
3|4|3|7|That's What I Like|BRUNO MARS|2017-02-11|82|1|18|20170325
4|3|2|13|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|2|23|20170325
5|6|5|20|Love On The Brain|RIHANNA|2016-11-12|80|5|30|20170325
6|8|6|3|Tunnel Vision|KODAK BLACK|2017-03-11|27|6|14|20170325
7|7|6|8|Paris|THE CHAINSMOKERS|2017-02-04|7|6|19|20170325
8|9|6|18|Bounce Back|BIG SEAN|2016-11-26|61|6|28|20170325
9|24|9|14|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|9|25|20170325
10|10|1|32|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|43|20170325
11|5|5|3|Something Just Like This|THE CHAINSMOKERS & COLDPLAY|2017-03-11|56|3|14|20170325
12|11|9|16|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|4|26|20170325
13|12|4|4|Chained To The Rhythm|KATY PERRY featuring SKIP MARLEY|2017-03-04|4|4|15|20170325
14|14|14|11|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|4|22|20170325
15|17|15|24|Mercy|SHAWN MENDES|2016-10-15|68|15|31|20170325
16|18|4|22|24K Magic|BRUNO MARS|2016-10-29|5|4|33|20170325
17|20|17|6|Body Like A Back Road|SAM HUNT|2017-02-18|38|6|17|20170325
18|22|12|4|It Ain't Me|KYGO x SELENA GOMEZ|2017-03-04|93|10|15|20170325
19|100|19|2|Green Light|LORDE|2017-03-18|100|19|9|20170325
20|32|20|4|Cold|MAROON 5 featuring FUTURE|2017-03-04|42|16|15|20170325
21|19|8|28|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|8|39|20170325
22|15|4|18|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|22|20170325
23|16|8|20|Fake Love|DRAKE|2016-11-12|24|8|25|20170325
24|13|1|44|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|52|20170325
25|21|21|8|Down|MARIAN HILL|2017-02-04|99|21|17|20170325
26|23|1|25|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|30|20170325
27|27|27|7|Issues|JULIA MICHAELS|2017-02-11|87|11|18|20170325
28|26|23|20|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|11|31|20170325
29|30|4|5|Million Reasons|LADY GAGA|2017-02-25|4|4|9|20170325
30|31|19|8|T-Shirt|MIGOS|2017-02-04|43|19|19|20170325
31|25|6|22|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|6|27|20170325
32|46|32|3|Mask Off|FUTURE|2017-03-11|49|5|14|20170325
33|35|33|10|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|12|21|20170325
34|28|28|2|Stay|ZEDD & ALESSIA CARA|2017-03-18|28|7|13|20170325
35|29|1|26|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|27|20170325
36|40|35|12|Swang|RAE SREMMURD|2017-01-07|99|26|23|20170325
37|NEW|37|1|Perfect|ED SHEERAN|2017-03-25|37|37|3|20170325
38|51|38|9|Location|KHALID|2017-01-28|77|16|20|20170325
39|75|6|9|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|20|20170325
40|36|4|31|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|33|20170325
41|59|41|5|Believer|IMAGINE DRAGONS|2017-02-25|43|15|16|20170325
42|44|39|14|Dirt On My Boots|JON PARDI|2016-12-24|95|37|20|20170325
43|41|26|17|Water Under The Bridge|ADELE|2016-12-03|94|26|21|20170325
44|43|2|38|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|39|20170325
45|33|16|22|All Time Low|JON BELLION|2016-10-29|82|16|22|20170325
46|56|46|12|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|46|14|20170325
47|38|11|27|Caroline|AMINE|2016-09-24|96|11|28|20170325
48|60|48|4|Rolex|AYO & TEO|2017-03-04|87|30|15|20170325
49|NEW|49|1|Dive|ED SHEERAN|2017-03-25|49|49|2|20170325
50|39|4|28|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|28|20170325
51|47|40|12|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|20|20170325
52|34|34|2|Slide|CALVIN HARRIS featuring FRANK OCEAN & MIGOS|2017-03-18|34|25|13|20170325
53|NEW|53|1|Galway Girl|ED SHEERAN|2017-03-25|53|53|4|20170325
54|49|41|12|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|22|20170325
55|42|34|19|Better Man|LITTLE BIG TOWN|2016-11-19|54|34|20|20170325
56|52|52|8|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170325
57|57|51|11|Goosebumps|TRAVIS SCOTT|2017-01-14|85|50|13|20170325
58|55|55|11|Think A Little Less|MICHAEL RAY|2017-01-14|90|54|16|20170325
59|NEW|59|1|Happier|ED SHEERAN|2017-03-25|59|59|2|20170325
60|53|53|2|How Far I'll Go|AULI'I CRAVALHO|2017-03-18|53|46|9|20170325
61|66|61|5|Look At Me!|XXXTENTACION|2017-02-25|95|34|16|20170325
62|61|57|4|Shining|DJ KHALED featuring BEYONCE & JAY Z|2017-03-04|62|57|13|20170325
63|58|58|4|Everyday|ARIANA GRANDE featuring NATURE|2017-03-04|85|55|7|20170325
64|54|7|13|Deja Vu|J. COLE|2016-12-31|7|7|20|20170325
65|68|65|7|Fast|LUKE BRYAN|2017-02-11|81|58|13|20170325
66|37|37|2|Selfish|FUTURE featuring RIHANNA|2017-03-18|37|37|10|20170325
67|50|43|10|I Got You|BEBE REXHA|2017-01-21|94|43|11|20170325
68|62|41|14|Play That Song|TRAIN|2016-12-24|77|41|19|20170325
69|83|69|2|Redbone|CHILDISH GAMBINO|2017-03-18|83|22|13|20170325
70|70|70|7|Any Ol' Barstool|JASON ALDEAN|2017-02-11|93|52|18|20170325
71|65|38|11|Moves|BIG SEAN|2017-01-14|71|38|18|20170325
72|NEW|72|1|New Man|ED SHEERAN|2017-03-25|72|72|1|20170325
73|74|73|4|Hurricane|LUKE COMBS|2017-03-04|96|31|15|20170325
74|69|67|9|Today|BRAD PAISLEY|2017-01-28|95|67|10|20170325
75|NEW|75|1|Supermarket Flowers|ED SHEERAN|2017-03-25|75|75|1|20170325
76|67|16|16|Party Monster|THE WEEKND|2016-12-10|39|16|19|20170325
77|64|46|3|Draco|FUTURE|2017-03-11|46|46|8|20170325
78|71|70|9|Call On Me|STARLEY|2017-01-28|94|65|17|20170325
79|82|52|3|Heavy|LINKIN PARK featuring KIIARA|2017-03-11|52|50|14|20170325
80|85|75|5|In Case You Didn't Know|BRETT YOUNG|2017-02-25|94|19|16|20170325
81|48|48|2|Comin Out Strong|FUTURE featuring THE WEEKND|2017-03-18|48|48|3|20170325
82|63|47|10|Sober Saturday Night|CHRIS YOUNG featuring VINCE GILL|2017-01-21|92|47|11|20170325
83|NEW|83|1|What Do I Know?|ED SHEERAN|2017-03-25|83|83|1|20170325
84|NEW|84|1|How Would You Feel (Paean)|ED SHEERAN|2017-03-25|84|84|1|20170325
85|84|80|7|Road Less Traveled|LAUREN ALAINA|2017-02-11|86|67|12|20170325
86|89|86|2|Losin Control|RUSS|2017-03-18|89|62|13|20170325
