Index|Chart|Weeks|Artist|Track|Date|Length|1|19|LUIS FONSI|Despacito|20170610|3:47
1|2|18|BRUNO MARS|That's What I Like|20170610|3:26
2|3|4|DJ KHALED|I'm The One|20170610|4:48
3|4|8|KENDRICK LAMAR|Humble.|20170610|2:57
4|5|20|ED SHEERAN|Shape Of You|20170610|3:54
5|6|14|FUTURE|Mask Off|20170610|4:17
6|7|13|ZEDD & ALESSIA CARA|Stay|20170610|3:30
7|8|14|THE CHAINSMOKERS & COLDPLAY|Something Just Like This|20170610|4:07
8|9|9|LIL UZI VERT|XO TOUR Llif3|20170610|2:59
9|10|15|KYGO x SELENA GOMEZ|It Ain't Me|20170610|3:40
10|11|18|JULIA MICHAELS|Issues|20170610|2:55
11|12|31|JAMES ARTHUR|Say You Won't Let Go|20170610|3:31
12|13|21|POST MALONE|Congratulations|20170610|3:40
13|14|17|SAM HUNT|Body Like A Back Road|20170610|2:42
14|15|16|IMAGINE DRAGONS|Believer|20170610|3:24
15|16|22|KYLE|iSpy|20170610|4:13
16|17|7|HARRY STYLES|Sign Of The Times|20170610|5:40
17|18|3|MILEY CYRUS|Malibu|20170610|3:52
18|19|16|BRETT YOUNG|In Case You Didn't Know|20170610|3:49
19|20|6|KENDRICK LAMAR|DNA.|20170610|3:05
20|21|20|KHALID|Location|20170610|3:37
21|22|13|CHILDISH GAMBINO|Redbone|20170610|5:26
22|23|7|FRENCH MONTANA|Unforgettable|20170610|3:53
23|24|10|DRAKE|Passionfruit|20170610|4:59
24|25|5|SHAWN MENDES|There's Nothing Holdin' Me Back|20170610|3:19
25|26|7|HALSEY|Now Or Never|20170610|3:35
26|27|2|SELENA GOMEZ|Bad Liar|20170610|3:34
27|28|28|MIGOS|Bad And Boujee|20170610|5:32
28|29|13|CALVIN HARRIS|Slide|20170610|3:50
29|30|20|ED SHEERAN|Castle On The Hill|20170610|4:21
30|31|15|AYO & TEO|Rolex|20170610|3:58
31|32|43|THE CHAINSMOKERS|Closer|20170610|3:24
32|33|10|JASON DERULO|Swalla|20170610|3:36
33|34|14|KODAK BLACK|Tunnel Vision|20170610|4:28
34|35|5|CHARLIE PUTH|Attention|20170610|3:31
35|36|8|TRAVIS SCOTT|Goosebumps|20170610|4:03
36|37|19|MIGOS|T-Shirt|20170610|4:01
37|38|33|BRUNO MARS|24K Magic|20170610|3:46
38|39|23|RAE SREMMURD|Swang|20170610|3:28
39|40|15|LUKE COMBS|Hurricane|20170610|3:43
40|41|25|CLEAN BANDIT|Rockabye|20170610|4:11
41|42|1|LIAM PAYNE|Strip That Down|20170610|3:24
42|43|1|LAUREN DUSKI|Deja Vu|20170610|4:12
43|44|15|MAROON 5|Cold|20170610|3:54
44|45|39|ALESSIA CARA|Scars To Your Beautiful|20170610|3:50
45|46|1|KATY PERRY|Swish Swish|20170610|4:02
46|47|1|CAMILA CABELLO|Crying In The Club|20170610|3:36
49|50|14|LINKIN PARK|Heavy|20170610|2:49
50|51|3|MIGOS|Slippery|20170610|5:11
51|52|4|NIALL HORAN|Slow Hands|20170610|3:07
52|53|19|THE CHAINSMOKERS|Paris|20170610|3:41
53|54|6|KENDRICK LAMAR|Love.|20170610|2:46
54|55|5|DARIUS RUCKER|If I Told You|20170610|4:03
55|56|9|DIERKS BENTLEY|Black|20170610|3:30
56|57|6|LADY GAGA|The Cure|20170610|3:31
57|58|4|PLAYBOI CARTI|Magnolia|20170610|3:01
59|60|8|FLORIDA GEORGIA LINE|God, Your Mama, And Me|20170610|3:04
60|61|10|DRAKE|Portland|20170610|3:56
62|63|4|LOGIC|1-800-273-8255|20170610|4:10
63|64|8|TEE GRIZZLEY|First Day Out|20170610|4:14
64|65|8|THOMAS RHETT|Craving You|20170610|3:44
66|67|2|KATY PERRY|Bon Appetit|20170610|3:40
67|68|8|DAN + SHAY|How Not To|20170610|3:13
68|69|13|RUSS|Losin Control|20170610|3:57
69|70|6|KENDRICK LAMAR|Loyalty.|20170610|3:47
70|71|4|LADY ANTEBELLUM|You Look Good|20170610|3:00
71|72|4|CHRIS BROWN|Privacy|20170610|3:40
72|73|5|DYLAN SCOTT|My Girl|20170610|3:17
73|74|2|CHEAT CODES|No Promises|20170610|3:43
74|75|3|BLAKE SHELTON|Every Time I Hear That Song|20170610|3:36
75|76|1|RASCAL FLATTS|Yours If You Want It|20170610|3:25
76|77|1|HAILEE STEINFELD|Most Girls|20170610|3:24
77|78|3|MIDLAND|Drinkin' Problem|20170610|3:41
78|79|4|PLAYBOI CARTI|Woke Up Like This|20170610|3:36
79|80|9|MARTIN GARRIX & DUA LIPA|Scared To Be Lonely|20170610|3:40
80|81|4|COLE SWINDELL|Flatliner|20170610|2:57
81|82|4|IMAGINE DRAGONS|Thunder|20170610|3:07
82|83|6|KENDRICK LAMAR|Element.|20170610|3:28
83|84|1|DRAKE|Gyalchester|20170610|3:09
